Ticker,Industry,Website,Dividend Yield %,ROE %,Profit Margin %,Debt/Equity %,Revenue Growth %,Summary
BHG,Other Industrial Metals & Mining,https://www.bhp.com,3.93,24.0,16.73,50.47,18.3,"BHP Group Limited operates as a resources company in Australia, Europe, China, Japan, India, South Korea, rest of Asia, North America, and South America. The company operates through three segments: Copper, Iron Ore, and Coal. It explores for copper, iron, steelmaking coal, energy coal, nickel, potash, cobalt, sulphide, ammonium sulphate, silver, gold, molybdenum, uranium, and zinc deposits. The company is also involved in the services, marketing, trading, and finance businesses; potash, nickel, and copper development; mining, smelting, refining of nickel; and provision of towing, freight, administrative, and marketing support and other services. BHP Group Limited was founded in 1851 and is headquartered in Melbourne, Australia."
ANH,Beverages - Brewers,https://www.ab-inbev.com,1.77,11.39,14.9,71.88,11.0,"Anheuser-Busch InBev SA/NV produces and sells beer in North America, Middle Americas, South America, Europe, the Middle East, Africa, and the Asia Pacific. It operates through North America, Middle Americas, South America, EMEA, Asia Pacific, and Global Export and Holding Companies segments. The company also offers flavored malt beverages, soft drinks, spirit-based ready-to-drink cocktails and beverages, and energy drinks. In addition, it operates BEES, a business-to-business digital commerce platform; on-demand delivery platforms under the Zé Delivery and TaDa Delivery brands; and premium at-home draft system under the PerfectDraft brand. The company provides a portfolio of approximately 500 beer brands, which primarily include Budweiser, Corona Extra, Michelob Ultra, and Stella Artois; Aguila, Brahma, Carling Black Label, Cass Fresh, Jupiler, Quilmes, SKOL, and Victoria; Beck's, Hoegaarden, and Leffe; Antarctica, Bud Light, Castle, Castle Lite, Cristal, Harbin, Modelo Especial, Sedrin, and Skol brands, as well as non-beer brands comprising Brutal Fruit, Cutwater, and NÜTRL brands. The company was formerly known as InBev SA and changed its name to Anheuser-Busch InBev SA/NV in November 2008. Anheuser-Busch InBev SA/NV was founded in 1366 and is headquartered in Leuven, Belgium."
CFR,Luxury Goods,https://www.richemont.com,1.93,14.96,15.54,55.98,4.2,"Compagnie Financière Richemont SA, an investment holding company, engages in the luxury goods business. The company operates through Jewellery Maisons, Specialist Watchmakers, and Other segments. It is involved in the design, manufacture, and distribution of jewelry products, precision timepieces, watches, writing instruments, clothing, and leather goods and accessories. The company provides its products under the Cartier, Van Cleef & Arpels, Vhernier, Buccellati, A. Lange & Söhne, Baume & Mercier, IWC Schaffhausen, Jaeger-LeCoultre, Panerai, Piaget, Roger Dubuis, Vacheron Constantin, Alaïa, Chloé, Delvaux, dunhill, G/FORE, Gianvito Rossi, Montblanc, Peter Millar, Purdey, Serapian, Watchfinder&Co., TIMEVALLEE, and brand names through retail online retail, and wholesale distribution channels. It offers its products in France, the United Kingdom, Italy, Switzerland, rest of Europe, the United Arab Emirates, rest of the Middle East, Africa, China, Hong Kong, Macau, Japan, South Korea, rest of Asia, the United States, and rest of the Americas. The company was incorporated in 1979 and is headquartered in Bellevue, Switzerland."
BTI,Tobacco,https://www.bat.com,5.85,13.42,24.99,72.15,1.4,"British American Tobacco p.l.c. provides tobacco and nicotine products to consumers in the United States, Europe, Latin America, Canada, the Asia-Pacific, the Middle East, Central Asia, Caucasus, and Africa. The company offers vapour products; heated products, which consists of a battery-powered device and a plant-based substance consumable that is heated; modern oral products, such as nicotine pouches; combustibles, including cigarette sticks and other tobacco stick products; traditional oral products, such as snus and moist snuff; and fine cut/roll-your-own tobacco products. It sells its products under the Vuse, glo, Velo, Grizzly, Kodiak, Dunhill, Kent, Lucky Strike, Pall Mall, Rothmans, Newport, Natural American Spirit, and Camel Snus brands, as well as Vogue, Viceroy, Kool, Peter Stuyvesant, Craven A, and State Express 555 brands. The company distributes its products to retail outlets. British American Tobacco p.l.c. was founded in 1902 and is headquartered in London, the United Kingdom."
PRX,Internet Retail,https://www.prosus.com,0.78,22.21,,32.87,,"Prosus N.V. engages in the e-commerce and internet businesses in Asia, Europe, Latin America, North America, and internationally. It operates internet platforms, such as classifieds, payments and fintech, etail, food delivery, education technology, Etail, ventures, tencent, and other platforms. It also provides online food delivery service. The company was formerly known as Myriad International Holdings N.V. and changed its name to Prosus N.V. Prosus N.V. was incorporated in 1994 and is headquartered in Amsterdam, the Netherlands."
GLN,Other Industrial Metals & Mining,https://www.glencore.com,2.32,16.04,1.78,124.23,48.6,"Glencore plc engages in the production, refinement, processing, storage, transport, and marketing of metals and minerals, and energy products in the Americas, Europe, Asia, Africa, and Oceania. The company operates in two segments, Marketing Activities and Industrial Activities. It engages in the production and marketing of copper, cobalt, lead, nickel, zinc, chrome ore, ferrochrome, vanadium, aluminum, alumina, and iron ore; and coal, crude oil, refined products, and natural gas, as well as oil exploration and production and refining and distribution. The company is also involved in marketing and distributing physical commodities sourced from third party producers to industrial consumers, including the battery, electronic, construction, automotive, steel, energy, and oil industries. In addition, the company provides financing, logistics, and other services to producers and consumers of commodities. Glencore plc was founded in 1974 and is headquartered in Baar, Switzerland."
AGL,Other Industrial Metals & Mining,https://www.angloamerican.com,0.71,-3.08,-13.94,73.76,10.9,"Anglo American plc, a mining company, produces copper, iron ore, and crop nutrients in the United Kingdom and internationally. The company operates through the Premium Iron Ore and the Copper segments. It also explores for nickel, diamonds, steelmaking coal, and manganese ore. The company was founded in 1917 and is headquartered in London, the United Kingdom."
ANG,Gold,https://www.anglogoldashanti.com,4.66,44.73,32.2,16.68,27.0,"AngloGold Ashanti plc operates as a gold mining company in Africa, Australia, and the Americas. It explores for gold, as well as by-products, including silver and sulphuric acid. The company's flagship property includes 100% owned the Geita mine located in the Lake Victoria goldfields of the Geita region in northwestern Tanzania. AngloGold Ashanti plc was incorporated in 1944 and is headquartered in Greenwood Village, Colorado."
GFI,Gold,https://www.goldfields.com,4.85,58.68,38.65,28.56,78.9,"Gold Fields Limited operates as a gold producer with reserves and resources in South Africa, Ghana, Australia, Peru, Canada, and Chile. It also explores for gold, copper and silver deposits. Gold Fields Limited was founded in 1887 and is based in Sandton, South Africa."
NPN,Internet Retail,https://www.naspers.com,0.71,22.06,45.83,33.7,,"Naspers Limited operates as a consumer internet company in Africa, Asia, Europe, and internationally. The company operates internet platforms, such as classifieds, an online classifieds platform; Payments and Fintech, a mobile and online payment platform; Food Delivery, an online food ordering and delivery platforms; Edtech, an online educational technology platform; social and internet platforms; health; and Etail and other e-commerce platforms. It engages in printing, distribution, circulation, and publishing of newspapers, magazines, and books. Naspers Limited was incorporated in 1915 and is headquartered in Cape Town, South Africa."
FSR,Banks - Diversified,https://www.firstrand.co.za,6.04,17.14,28.19,,,"FirstRand Limited, together with its subsidiaries, provides transactional, lending, investment, and insurance products and services in South Africa, rest of Africa, the United Kingdom, and internationally. It operates in Retail and Commercial, and Corporate and Institutional segments. The company offers deposits and savings products; personal loans; and asset and invoice finance, as well as SME commercial, residential, and buy-to-let mortgages. It also provides life and short-term insurance products; and vehicle finance, instalment credit and fleet management, and corporate and investment banking services. In addition, the company offers asset management, as well as vehicle-related insurance services. Further, it provides franchise advisory, market risk management, capital market flow, and trading and structuring services. It serves retail and public sector customers, small and medium-sized enterprises, businesses, agricultural industry, medium corporates, and institutions. The company was incorporated in 1966 and is based in Sandton, South Africa."
