date,Ticker,Price (R),Valuation Score,Momentum Score,Sharpe Score,Combined Score
2026-09-23,ABG,,71,,28,57
2026-09-23,ADH,,15,,99,43
2026-09-23,AEL,,32,,95,53
2026-09-23,AFE,,5,,17,9
2026-09-23,AGL,,,,90,90
2026-09-23,ANG,,35,,76,49
2026-09-23,ANH,,17,,73,36
2026-09-23,APN,,,,87,87
2026-09-23,ARI,,70,,15,52
2026-09-23,ARL,,99,,3,67
2026-09-23,ATT,,61,,45,56
2026-09-23,AVI,,49,,4,34
2026-09-23,BAT,,88,,34,70
2026-09-23,BHG,,11,,88,37
2026-09-23,BID,,18,,78,38
2026-09-23,BLU,,,,29,29
2026-09-23,BOX,,7,,55,23
2026-09-23,BTI,,28,,32,29
2026-09-23,BTN,,57,,57,57
2026-09-23,BVT,,39,,40,39
2026-09-23,BYI,,12,,96,40
2026-09-23,CFR,,3,,82,29
2026-09-23,CLS,,24,,6,18
2026-09-23,CML,,62,,37,54
2026-09-23,CPI,,4,,72,27
2026-09-23,DCP,,9,,7,8
2026-09-23,DRD,,65,,35,55
2026-09-23,DSY,,33,,65,44
2026-09-23,DTC,,37,,86,53
2026-09-23,EQU,,54,,60,56
2026-09-23,EXX,,89,,11,63
2026-09-23,FFB,,92,,69,84
2026-09-23,FSR,,34,,64,44
2026-09-23,FTB,,100,,80,93
2026-09-23,GFI,,69,,54,64
2026-09-23,GLN,,20,,37,26
2026-09-23,GND,,21,,100,47
2026-09-23,GRT,,77,,35,63
2026-09-23,HAR,,85,,85,85
2026-09-23,HCI,,98,,50,82
2026-09-23,HMN,,67,,50,61
2026-09-23,HYP,,83,,81,82
2026-09-23,IMP,,94,,44,77
2026-09-23,INP,,68,,67,68
2026-09-23,JSE,,51,,31,44
2026-09-23,KAP,,,,98,98
2026-09-23,KIO,,87,,7,60
2026-09-23,KST,,8,,93,36
2026-09-23,LHC,,40,,71,50
2026-09-23,LTE,,63,,68,65
2026-09-23,MNP,,,,38,38
2026-09-23,MRP,,47,,63,52
2026-09-23,MSP,,46,,71,54
2026-09-23,MTH,,86,,27,66
2026-09-23,MTM,,64,,75,68
2026-09-23,MTN,,16,,48,27
2026-09-23,NED,,22,,83,42
2026-09-23,NPH,,73,,33,60
2026-09-23,NPN,,78,,19,58
2026-09-23,NRP,,52,,79,61
2026-09-23,NTC,,43,,78,55
2026-09-23,NY1,,45,,13,34
2026-09-23,OCE,,50,,77,59
2026-09-23,OMN,,29,,97,52
2026-09-23,OMU,,76,,39,64
2026-09-23,OUT,,10,,94,38
2026-09-23,PAN,,58,,50,55
2026-09-23,PHP,,23,,51,32
2026-09-23,PIK,,,,53,53
2026-09-23,PMR,,19,,67,35
2026-09-23,PPC,,31,,92,51
2026-09-23,PPH,,48,,8,35
2026-09-23,PRX,,72,,21,55
2026-09-23,QLT,,14,,46,25
2026-09-23,RBX,,82,,15,60
2026-09-23,RDF,,84,,42,70
2026-09-23,REM,,1,,89,30
2026-09-23,RES,,97,,26,73
2026-09-23,RLO,,55,,24,45
2026-09-23,RNI,,,,5,5
2026-09-23,S32,,26,,84,45
2026-09-23,SAC,,44,,57,48
2026-09-23,SAP,,,,22,22
2026-09-23,SBK,,56,,46,53
2026-09-23,SDO,,2,,93,32
2026-09-23,SEA,,90,,53,78
2026-09-23,SHP,,13,,91,39
2026-09-23,SLM,,60,,19,46
2026-09-23,SNT,,53,,41,49
2026-09-23,SOL,,41,,64,49
2026-09-23,SPG,,96,,60,84
2026-09-23,SPP,,6,,10,7
2026-09-23,SRE,,80,,18,59
2026-09-23,SSS,,81,,14,59
2026-09-23,SSW,,66,,43,58
2026-09-23,SUI,,79,,60,73
2026-09-23,TBS,,38,,23,33
2026-09-23,TFG,,42,,10,31
2026-09-23,TGA,,,,21,21
2026-09-23,TKG,,74,,25,58
2026-09-23,TRU,,93,,12,66
2026-09-23,VAL,,59,,58,59
2026-09-23,VKE,,95,,73,88
2026-09-23,VOD,,27,,62,39
2026-09-23,WBC,,36,,1,24
2026-09-23,WBO,,91,,30,71
2026-09-23,WHL,,30,,2,21
