date,BHG,ANH,CFR,BTI,GLN,PRX,AGL,ANG,GFI,NPN,CPI,FSR,SBK,MTN,VAL,VOD,S32,HAR,IMP,ABG,DSY,SHP,SLM,SOL,BID,NED,OUT,SSW,REM,NPH,NRP,INP,RNI,MNP,BVT,KIO,APN,PPH,PAN,OMU,GRT,QLT,PHP,MTM,CLS,SNT,HMN,RDF,MRP,EXX,NY1,TBS,KST,BOX,VKE,DRD,FFB,WHL,SRE,ARI,PMR,ADH,AVI,TKG,HYP,RES,DCP,BYI,NTC,DTC,GND,OMN,MTH,LTE,LHC,EQU,TFG,TRU,FTB,CML,TGA,PIK,MSP,SDO,JSE,ATT,HCI,WBC,PPC,AFE,SUI,AEL,SAC,RLO,SPP,OCE,SSS,BAT,BTN,SAP,RBX,WBO,ARL,KAP,BLU,SEA,SPG
2026-03-25,595.82,1168.71,3005.4,971.72,123.2,810.29,719.08,1533.9,727.47,908.47,4247.3,90.11,305.55,203.7,1346.27,149.48,48.6,251.0,232.63,244.14,256.56,266.98,91.43,215.47,404.26,275.1,72.26,50.17,185.74,339.52,138.28,131.7,554.5,194.36,227.79,311.2,131.94,23.28,30.59,13.92,16.48,39.4,20.63,37.15,294.17,397.78,70.05,6.1,159.27,214.51,50.33,299.5,26.89,76.01,22.55,47.86,23.64,50.91,20.98,229.75,176.12,39.89,103.74,63.55,55.77,81.15,37.14,61.05,16.82,69.99,18.02,93.87,119.26,7.48,11.41,17.23,72.21,52.71,6.51,44.19,155.0,19.06,19.7,11.5,162.51,17.69,158.24,43.5,5.98,115.24,45.83,20.0,3.37,65.48,64.48,52.13,17.19,2.17,9.28,17.47,48.12,153.35,253.0,1.82,8.85,12.4,16.99
2026-03-26,584.28,1174.2,3034.89,980.5,120.71,789.53,695.19,1508.82,712.8,882.34,4261.13,88.04,300.9,199.36,1303.39,150.07,47.62,246.09,225.24,241.97,254.05,277.0,90.32,219.5,406.03,274.15,71.7,49.07,186.97,332.61,137.0,131.67,550.9,196.39,228.25,311.29,130.17,23.1,30.33,13.92,16.37,39.44,20.73,36.32,294.98,396.62,69.73,6.02,153.4,212.66,50.53,304.75,26.99,78.5,22.11,47.22,23.26,51.31,21.09,225.65,176.44,40.26,103.0,62.99,54.49,79.96,37.27,60.43,16.83,69.68,18.1,94.2,116.8,7.48,11.29,17.0,71.52,51.29,6.52,43.72,158.73,19.31,19.38,11.54,161.96,17.44,164.34,43.07,5.99,116.24,46.5,20.03,3.3,64.84,65.0,52.44,16.85,2.18,9.29,17.1,48.25,152.75,249.4,1.86,8.69,12.31,16.78
2026-03-27,595.62,1167.1,2958.57,987.0,121.9,765.23,696.07,1505.0,711.59,858.32,4181.65,87.74,297.81,194.6,1306.9,146.86,47.17,244.65,222.58,237.5,250.46,275.81,88.94,217.77,415.7,270.73,72.06,48.65,185.01,322.5,136.42,130.0,547.88,192.71,228.85,309.67,127.94,22.69,30.4,13.75,16.14,39.14,20.57,35.75,293.81,398.04,68.73,5.92,152.37,214.0,50.1,299.5,26.87,75.85,22.32,47.74,22.82,50.55,20.79,224.96,173.75,40.9,102.62,62.0,53.88,79.45,36.67,60.3,16.46,68.95,18.01,94.16,113.46,7.5,11.23,16.94,69.18,50.0,6.46,43.61,165.48,19.31,19.37,11.55,160.56,17.28,165.5,42.44,5.97,115.89,46.4,19.88,3.26,64.81,63.8,53.82,16.96,2.17,9.25,16.8,47.8,154.5,251.25,1.85,8.5,11.74,16.61
2026-03-30,603.0,1174.2,2936.24,999.5,125.69,763.1,701.56,1582.0,737.78,853.15,4081.62,86.32,298.55,192.5,1369.53,144.0,51.55,247.61,235.1,235.98,248.45,275.11,87.45,224.73,410.0,267.0,69.94,48.79,181.93,336.37,136.74,127.85,544.93,190.41,224.78,316.99,128.0,22.24,30.57,13.84,16.11,38.56,20.7,35.71,288.2,388.92,66.74,5.88,148.17,224.4,49.77,296.72,26.0,74.69,22.18,48.34,22.99,50.1,20.49,228.1,171.93,41.01,102.17,59.17,53.61,79.0,36.85,60.68,16.39,69.21,18.25,93.86,111.95,7.34,11.36,16.79,69.3,50.45,6.39,43.91,174.63,18.91,19.49,11.4,157.84,16.6,167.08,39.44,5.85,116.19,46.57,19.98,3.25,64.76,63.0,52.5,16.85,2.13,9.12,16.82,48.28,153.0,254.61,1.96,8.44,12.0,16.45
2026-03-31,606.0,1178.63,2958.61,992.08,127.99,768.65,720.0,1642.4,760.5,861.96,4122.35,86.14,304.45,195.45,1401.0,144.32,50.99,256.0,238.93,241.19,248.3,275.8,88.98,225.37,407.58,266.76,69.6,51.04,188.54,340.12,135.78,129.32,553.08,191.64,227.55,319.31,131.4,22.6,31.5,13.8,16.17,39.46,20.44,35.95,289.46,391.86,66.98,5.95,153.37,224.62,50.97,299.01,26.69,75.08,22.1,49.41,22.1,50.72,21.09,230.88,174.25,42.21,103.85,58.8,53.72,79.19,37.22,62.47,16.52,70.04,18.75,95.5,115.99,7.45,11.55,16.85,70.57,51.67,6.38,44.15,167.68,19.1,19.6,12.08,159.75,16.38,165.04,39.8,5.94,114.29,47.37,19.88,3.25,65.16,62.75,53.0,16.7,2.16,9.1,16.87,48.71,155.02,254.96,2.04,8.34,12.15,17.04
2026-04-01,619.38,1184.92,3013.75,961.54,125.84,789.55,748.88,1728.34,814.86,889.39,4239.92,86.94,307.85,196.72,1435.69,144.86,52.68,276.22,245.54,240.41,249.8,274.37,91.59,204.23,407.19,273.83,70.54,52.73,193.17,348.73,137.89,130.61,547.9,189.72,228.04,326.92,135.0,23.17,34.2,14.08,16.26,40.5,20.38,36.77,296.89,396.77,67.1,6.0,154.98,223.8,52.48,303.47,27.38,74.55,22.67,52.45,22.4,50.94,21.27,238.46,169.98,42.38,103.5,58.96,54.0,81.19,38.01,63.4,16.7,70.06,19.45,95.5,116.61,7.5,11.8,16.77,69.34,52.28,6.5,44.6,172.3,19.33,19.6,11.65,164.5,16.43,165.35,40.77,6.04,115.11,47.73,19.99,3.31,65.29,62.52,53.27,16.84,2.15,9.2,16.7,51.6,158.6,257.97,2.13,8.5,12.3,17.19
2026-04-02,614.88,1205.56,3018.81,988.62,126.52,781.25,737.76,1728.71,800.58,870.41,4223.89,86.64,310.32,194.11,1459.72,144.11,52.15,273.07,245.32,238.35,246.29,275.49,90.82,208.08,408.0,274.27,71.41,52.21,193.75,348.08,136.87,132.1,551.99,190.52,225.97,325.78,134.11,22.8,33.71,13.98,16.24,39.9,20.55,36.85,294.51,396.92,67.8,6.0,155.49,226.04,51.2,298.57,27.45,73.78,22.65,52.7,22.42,50.48,21.3,243.14,171.53,42.6,103.33,58.46,54.28,81.19,37.9,64.5,16.76,69.78,19.56,94.0,116.31,7.46,11.8,16.79,69.96,51.51,6.35,44.53,171.35,19.09,19.67,11.31,165.0,16.36,160.0,39.43,5.96,113.05,48.31,20.05,3.33,65.53,61.58,53.8,16.77,2.11,9.11,17.04,50.28,158.31,254.69,2.11,8.49,12.68,16.99
2026-04-07,616.0,1211.11,2986.28,996.0,125.26,777.02,733.68,1688.41,771.32,870.5,4215.83,87.0,311.9,195.05,1412.82,143.8,52.8,264.41,230.84,237.78,246.28,275.11,88.98,226.9,407.73,272.11,70.82,51.14,191.37,337.03,135.79,132.02,546.46,189.0,222.69,322.15,133.36,22.0,32.94,13.93,16.18,39.37,20.78,36.85,291.85,394.48,67.55,6.01,151.28,226.04,45.96,298.84,27.33,73.25,22.47,51.09,22.35,49.52,21.3,240.03,169.08,42.54,102.39,58.94,53.7,81.11,37.9,64.25,16.75,69.35,19.73,95.0,113.72,7.36,11.8,16.78,68.03,50.59,6.5,43.74,171.0,18.88,19.2,11.3,163.64,16.3,164.0,39.34,5.93,112.1,48.38,20.0,3.36,64.79,60.34,54.5,16.83,2.09,9.14,16.65,49.13,155.73,250.89,2.16,8.48,12.69,16.88
2026-04-08,630.4,1221.64,3147.99,968.31,123.33,808.08,766.39,1757.64,807.2,913.71,4405.61,91.23,329.41,199.08,1549.32,149.2,52.47,274.76,260.94,254.33,252.92,279.11,89.57,199.03,413.7,274.76,73.82,53.62,202.14,363.77,139.9,137.57,557.0,193.13,236.12,323.58,134.6,23.99,34.6,13.89,17.5,40.51,21.06,37.48,297.88,408.55,70.0,6.44,161.59,223.02,47.42,303.0,28.47,72.95,23.48,51.48,23.62,52.15,22.07,250.8,173.06,44.0,102.45,62.0,56.5,83.5,37.41,65.25,17.18,72.79,19.84,97.77,118.7,7.55,12.25,17.5,72.6,53.5,6.82,46.43,149.57,19.48,19.25,12.04,165.54,17.7,165.21,40.45,6.32,113.2,46.86,21.15,3.6,68.59,62.85,54.1,17.57,2.13,9.5,16.94,51.75,162.72,259.44,2.15,8.66,12.84,17.7
2026-04-09,629.7,1214.26,3134.2,950.34,124.67,799.45,763.0,1766.2,800.76,888.24,4293.67,88.0,325.02,202.39,1540.83,149.21,52.76,273.83,256.0,249.62,252.31,278.57,87.7,202.4,409.13,270.1,73.02,53.59,200.95,361.99,137.94,136.65,552.0,188.18,233.23,323.36,133.5,23.3,34.05,13.82,17.25,40.26,20.65,36.72,292.0,406.51,69.31,6.27,158.75,223.5,46.0,299.64,28.15,70.76,22.97,51.17,23.15,50.74,21.75,249.91,174.46,44.06,100.33,61.47,55.31,80.61,36.5,63.0,17.13,70.58,19.77,96.11,117.0,7.5,12.16,17.14,71.61,53.33,6.74,46.12,149.6,19.3,19.46,11.89,165.45,17.04,167.0,39.91,6.15,112.5,47.15,21.2,3.57,68.7,61.57,53.98,17.04,2.16,9.42,16.53,51.53,160.51,257.21,2.19,8.64,12.9,17.3
