Ticker,Name,Price (R),Market Cap (R bn),Sector,FX Exposure,P/E,6mo Momentum %,Sharpe Ratio,ADV (R m),Valuation Score,Momentum Score,Sharpe Score,Combined Score
BHG,BHP Group,697.55,3545.61,Basic Materials,Rand Hedge,22.193764,22.0,1.22,348.1,11.0,90.0,89.0,58.0
ANH,AB InBev,1261.17,2483.41,Consumer Defensive,Rand Hedge,16.730831,9.3,0.5,344.0,17.0,74.0,69.0,50.0
CFR,Richemont,3380.8,1987.71,Consumer Cyclical,Rand Hedge,30.880526,14.6,0.83,369.8,3.0,83.0,82.0,51.0
BTI,British American Tobacco,912.28,1963.54,Consumer Defensive,Rand Hedge,14.427962,-5.1,-0.46,668.4,27.0,33.0,32.0,30.0
PRX,Prosus,669.68,1401.1,Consumer Cyclical,Rand Hedge,7.873031,-16.5,-1.01,863.1,73.0,17.0,18.0,40.0
GLN,Glencore,119.15,1397.81,Basic Materials,Rand Hedge,16.277323,1.4,-0.02,471.5,20.0,49.0,49.0,37.0
AGL,Anglo American,879.63,942.51,Basic Materials,Rand Hedge,,27.8,1.29,646.5,,92.0,90.0,91.0
ANG,AngloGold Ashanti,1617.01,817.83,Basic Materials,Rand Hedge,13.34497,13.3,0.58,1960.2,34.0,82.0,75.0,61.0
GFI,Gold Fields,669.53,596.48,Basic Materials,Rand Hedge,8.391152,-1.0,0.08,2158.5,70.0,42.0,52.0,55.0
NPN,Naspers,711.82,532.53,Consumer Cyclical,Rand Hedge,7.1546893,-19.7,-1.04,1620.4,78.0,13.0,17.0,40.0
FSR,FirstRand,92.68,515.44,Financial Services,Domestic,13.490539,5.5,0.23,1380.8,33.0,61.0,60.0,50.0
CPI,Capitec,4477.09,518.55,Financial Services,Domestic,30.747131,9.2,0.57,969.7,4.0,72.0,73.0,45.0
SBK,Standard Bank,306.46,496.25,Financial Services,Mixed,9.747455,2.3,-0.03,723.0,57.0,54.0,48.0,54.0
MTN,MTN Group,193.67,355.01,Communication Services,Mixed,20.11111,0.5,-0.04,956.7,16.0,44.0,47.0,33.0
VAL,Valterra Platinum,1305.02,344.48,Basic Materials,Rand Hedge,9.453927,-1.4,0.1,1387.1,59.0,41.0,53.0,51.0
VOD,Vodacom,150.08,289.92,Communication Services,Mixed,14.43077,5.1,0.2,301.5,26.0,58.0,58.0,45.0
S32,South32,56.2,251.86,Basic Materials,Rand Hedge,14.712043,19.8,0.91,111.7,25.0,86.0,85.0,61.0
HAR,Harmony Gold,305.7,191.4,Basic Materials,Rand Hedge,6.6011662,27.9,1.0,1363.1,85.0,93.0,86.0,88.0
