snapshot_date,rank,Ticker,Name,Combined Score,Valuation Score,Momentum Score,Sharpe Score,Price (R)
2026-09-25,1,KAP,KAP Limited,98,,98,97,2.83
2026-09-25,2,AGL,Anglo American,91,,91,90,872.24
2026-09-25,3,APN,Aspen Pharmacare,89,,89,88,157.01
2026-09-25,4,HAR,Harmony Gold,88,85,92,86,305.64
2026-09-25,5,FTB,Fairvest,87,100,79,79,7.1
2026-09-25,6,VKE,Vukile Property Fund,84,95,75,78,24.28
2026-09-25,7,HYP,Hyprop Investments,83,83,82,85,61.67
2026-09-25,8,FFB,Fortress Real Estate,82,91,76,76,25.48
2026-09-25,9,SPG,Super Group,80,96,70,70,18.03
2026-09-25,10,OCE,Oceana Group,76,50,93,92,64.0
2026-09-25,11,HCI,Hosken Consolidated,74,98,59,56,162.39
2026-09-25,12,LTE,Lighthouse Properties,73,62,80,82,8.22
2026-09-25,13,SEA,Spear REIT,71,87,61,57,12.8
2026-09-25,14,AEL,Altron,70,33,96,93,27.33
2026-09-25,15,PPC,PPC,69,30,95,96,7.93
2026-09-25,16,HMN,Hammerson,69,66,71,71,74.36
2026-09-25,17,GND,Grindrod,68,21,100,100,28.77
2026-09-25,18,OMN,Omnia,68,29,94,95,122.2
2026-09-25,19,BYI,Bytes Technology,65,13,99,99,95.17
2026-09-25,20,DTC,Datatec,65,37,84,84,80.36
2026-09-25,21,BTN,Burstone Group,65,56,71,72,9.85
2026-09-25,22,ADH,ADvTECH,63,15,93,98,51.79
2026-09-25,23,MTM,Momentum Group,63,64,63,60,38.51
2026-09-25,24,RDF,Redefine Properties,63,84,50,48,6.06
2026-09-25,25,MSP,MAS,62,45,73,73,21.12
2026-09-25,26,BAT,Brait,62,92,41,45,2.08
2026-09-25,27,S32,South32,61,26,85,83,55.95
2026-09-25,28,EQU,Equites Property Fund,61,54,66,65,17.98
2026-09-25,29,SOL,Sasol,60,41,73,74,231.0
2026-09-25,30,RES,Resilient REIT,60,97,39,28,77.07
2026-09-25,31,SHP,Shoprite,59,12,90,93,319.0
2026-09-25,32,SDO,Stadio,58,2,97,94,16.25
2026-09-25,33,NRP,NEPI Rockcastle,58,52,64,59,143.79
2026-09-25,34,INP,Investec,58,69,52,50,132.89
2026-09-25,35,OMU,Old Mutual,58,76,50,40,13.72
2026-09-25,36,SUI,Sun International,58,80,45,40,44.76
2026-09-25,37,KST,PSG Financial Services,57,9,88,91,31.8
2026-09-25,38,BHG,BHP Group,57,11,87,87,690.7
2026-09-25,39,NTC,Netcare,57,42,67,66,17.62
2026-09-25,40,ATT,Attacq,57,61,56,53,17.99
2026-09-25,41,IMP,Impala Platinum,57,93,25,49,201.6
2026-09-25,42,OUT,OUTsurance Group,56,10,86,89,83.67
2026-09-25,43,BID,Bid Corporation,55,19,79,79,437.76
2026-09-25,44,SAC,SA Corporate Real Estate,55,43,62,63,3.49
2026-09-25,45,MRP,Mr Price Group,55,47,58,63,162.97
2026-09-25,46,GRT,Growthpoint Properties,55,77,43,36,16.03
2026-09-25,47,MTH,Motus,55,86,36,31,111.02
2026-09-25,48,ANG,AngloGold Ashanti,54,35,65,70,1598.39
2026-09-25,49,VAL,Valterra Platinum,54,58,46,60,1317.17
2026-09-25,50,ANH,AB InBev,53,17,78,77,1263.21
2026-09-25,51,SNT,Santam,53,53,54,50,404.0
2026-09-25,52,WBO,WBHO,53,88,32,27,139.43
2026-09-25,53,LHC,Life Healthcare,52,39,60,62,11.76
2026-09-25,54,PIK,Pick n Pay Stores,52,,51,55,19.04
2026-09-25,55,CFR,Richemont,51,3,83,81,3374.4
2026-09-25,56,NED,Nedbank,50,22,69,68,290.1
2026-09-25,57,SBK,Standard Bank,50,57,48,42,300.72
2026-09-25,58,SRE,Sirius Real Estate,50,79,35,24,19.44
2026-09-25,59,SSS,Stor-Age Property REIT,50,81,34,18,15.75
2026-09-25,60,REM,Remgro,49,1,81,81,204.69
2026-09-25,61,CML,Coronation Fund Managers,49,63,42,36,42.5
2026-09-25,62,GFI,Gold Fields,49,68,31,47,657.52
2026-09-25,63,BOX,Boxer Retail,48,7,77,74,82.0
2026-09-25,64,FSR,FirstRand,47,34,57,54,91.93
2026-09-25,65,PMR,Premier Group,46,20,64,64,183.0
2026-09-25,66,DSY,Discovery,46,32,56,53,261.02
2026-09-25,67,TRU,Truworths International,46,94,15,10,42.01
2026-09-25,68,EXX,Exxaro Resources,45,89,17,12,176.55
2026-09-25,69,ABG,Absa Group,44,71,29,22,218.28
2026-09-25,70,RBX,Raubex,44,82,21,16,41.33
2026-09-25,71,ARL,Astral Foods,44,99,9,3,187.38
2026-09-25,72,SSW,Sibanye-Stillwater,43,65,23,38,43.16
2026-09-25,73,CPI,Capitec,42,4,68,67,4477.55
2026-09-25,74,VOD,Vodacom,42,27,53,51,151.0
2026-09-25,75,BVT,Bidvest Group,42,40,46,37,223.0
2026-09-25,76,PAN,Pan African Resources,42,59,24,43,26.49
2026-09-25,77,DRD,DRDGOLD,42,67,21,34,41.12
2026-09-25,78,JSE,JSE Ltd,41,51,38,29,153.53
2026-09-25,79,TKG,Telkom,41,74,18,20,52.38
2026-09-25,80,PRX,Prosus,40,70,19,21,668.97
2026-09-25,81,NPH,Northam Platinum,40,73,13,30,266.43
