ticker,name,fx_exposure,exclude
ABG.JO,Absa Group,Domestic,
ACL.JO,ArcelorMittal SA,Domestic,
ADH.JO,ADvTECH,Domestic,
AFE.JO,AECI,Domestic,
AFT.JO,Afrimat,Domestic,
AGL.JO,Anglo American,Rand Hedge,
ANG.JO,AngloGold Ashanti,Rand Hedge,
ANH.JO,AB InBev,Rand Hedge,
APN.JO,Aspen Pharmacare,Mixed,
ARI.JO,African Rainbow Minerals,Rand Hedge,
AVI.JO,AVI Limited,Domestic,
BHG.JO,BHP Group,Rand Hedge,
BID.JO,Bid Corporation,Rand Hedge,
BTI.JO,British American Tobacco,Rand Hedge,
BVT.JO,Bidvest Group,Domestic,
CLS.JO,Clicks Group,Domestic,
CPI.JO,Capitec,Domestic,
DRD.JO,DRDGOLD,Rand Hedge,
DSY.JO,Discovery,Domestic,
EXX.JO,Exxaro Resources,Rand Hedge,
FSR.JO,FirstRand,Domestic,
GFI.JO,Gold Fields,Rand Hedge,
GLN.JO,Glencore,Rand Hedge,
GRT.JO,Growthpoint Properties,Domestic,
HAR.JO,Harmony Gold,Rand Hedge,
HYP.JO,Hyprop Investments,Domestic,
IMP.JO,Impala Platinum,Rand Hedge,
INL.JO,Investec Ltd,Mixed,
INP.JO,Investec PLC,Mixed,
KAP.JO,KAP Limited,Domestic,
KIO.JO,Kumba Iron Ore,Rand Hedge,
LHC.JO,Life Healthcare,Domestic,
MNP.JO,Mondi,Rand Hedge,
MRP.JO,Mr Price Group,Domestic,
MTM.JO,Momentum Group,Domestic,
MTN.JO,MTN Group,Mixed,
NED.JO,Nedbank,Domestic,
NPH.JO,Northam Platinum,Rand Hedge,
NPN.JO,Naspers,Rand Hedge,
NRP.JO,NEPI Rockcastle,Rand Hedge,
NTC.JO,Netcare,Domestic,
OCE.JO,Oceana Group,Mixed,
OMU.JO,Old Mutual,Domestic,
PIK.JO,Pick n Pay Stores,Domestic,
PRX.JO,Prosus,Rand Hedge,
RDF.JO,Redefine Properties,Domestic,
REM.JO,Remgro,Mixed,
RMH.JO,RMB Holdings,Domestic,
RNI.JO,Reinet Investments,Rand Hedge,
SAP.JO,Sappi,Rand Hedge,
SBK.JO,Standard Bank,Mixed,
SHP.JO,Shoprite,Domestic,
SLM.JO,Sanlam,Domestic,
SOL.JO,Sasol,Mixed,
SPP.JO,SPAR Group,Mixed,
SSW.JO,Sibanye-Stillwater,Rand Hedge,
TBS.JO,Tiger Brands,Domestic,
TFG.JO,The Foschini Group,Mixed,
TRU.JO,Truworths International,Mixed,
VAL.JO,Valterra Platinum,Rand Hedge,
VOD.JO,Vodacom,Mixed,
WHL.JO,Woolworths Holdings,Mixed,
